"name","gene","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6"
"gene-SAUSA300_RS00365","gene-SAUSA300_RS00365",0,0,0,0,0,0
"gene-SAUSA300_RS00370","gene-SAUSA300_RS00370",2,0,2,0,0,4
"gene-SAUSA300_RS00375","gene-SAUSA300_RS00375",2,0,0,0,5,2
"gene-SAUSA300_RS00380","gene-SAUSA300_RS00380",0,2,2,2,0,0
"gene-SAUSA300_RS00385","gene-SAUSA300_RS00385",4,4,0,0,0,2
"gene-SAUSA300_RS00390","gene-SAUSA300_RS00390",0,0,0,0,0,0
"gene-SAUSA300_RS16060","gene-SAUSA300_RS16060",0,0,0,0,0,0
"gene-SAUSA300_RS00395","gene-SAUSA300_RS00395",93,100,108,191,200,179
"gene-SAUSA300_RS00400","gene-SAUSA300_RS00400",25,45,48,90,39,86
"gene-SAUSA300_RS00405","gene-SAUSA300_RS00405",0,0,0,0,0,0
"gene-SAUSA300_RS00410","gene-SAUSA300_RS00410",0,0,0,0,0,0
"gene-SAUSA300_RS00415","gene-SAUSA300_RS00415",0,0,0,2,2,2
"gene-SAUSA300_RS00420","gene-SAUSA300_RS00420",3,6,2,0,0,4
"gene-SAUSA300_RS00425","gene-SAUSA300_RS00425",0,0,0,0,0,0
"gene-SAUSA300_RS00430","gene-SAUSA300_RS00430",5,0,6,4,2,6
"gene-SAUSA300_RS00435","gene-SAUSA300_RS00435",0,0,0,0,0,0
"gene-SAUSA300_RS00440","gene-SAUSA300_RS00440",2,0,0,2,2,0
"gene-SAUSA300_RS00445","gene-SAUSA300_RS00445",8,0,2,14,10,8
"gene-SAUSA300_RS15920","gene-SAUSA300_RS15920",48,58,55,66,59,56
"gene-SAUSA300_RS16100","gene-SAUSA300_RS16100",0,2,0,0,0,0
"gene-SAUSA300_RS00460","gene-SAUSA300_RS00460",32,40,22,36,38,34
"gene-SAUSA300_RS00465","gene-SAUSA300_RS00465",0,0,0,0,0,0
"gene-SAUSA300_RS00470","gene-SAUSA300_RS00470",2,2,0,0,0,4
"gene-SAUSA300_RS00475","gene-SAUSA300_RS00475",0,0,5,2,4,0
"gene-SAUSA300_RS00480","gene-SAUSA300_RS00480",0,0,1,0,0,0
"gene-SAUSA300_RS00485","gene-SAUSA300_RS00485",4,5,3,2,3,8
"gene-SAUSA300_RS00490","gene-SAUSA300_RS00490",0,0,0,0,2,0
"gene-SAUSA300_RS00495","gene-SAUSA300_RS00495",0,0,0,0,0,0
"gene-SAUSA300_RS00500","gene-SAUSA300_RS00500",2,0,0,0,0,0
"gene-SAUSA300_RS00505","gene-SAUSA300_RS00505",23,22,22,8,14,12
"gene-SAUSA300_RS00510","gene-SAUSA300_RS00510",4,8,9,2,4,4
"gene-SAUSA300_RS00515","gene-SAUSA300_RS00515",26,10,16,2,4,2
"gene-SAUSA300_RS00520","gene-SAUSA300_RS00520",2,2,2,4,0,0
"gene-SAUSA300_RS00525","gene-SAUSA300_RS00525",4,0,2,8,7,4
"gene-SAUSA300_RS00530","gene-SAUSA300_RS00530",8,0,0,2,2,0
"gene-SAUSA300_RS00535","gene-SAUSA300_RS00535",2,4,2,3,12,6
"gene-SAUSA300_RS00540","gene-SAUSA300_RS00540",16,27,8,14,32,20
"gene-SAUSA300_RS00545","gene-SAUSA300_RS00545",12,6,8,12,12,6
"gene-SAUSA300_RS00550","gene-SAUSA300_RS00550",6,12,14,14,12,13
"gene-SAUSA300_RS00555","gene-SAUSA300_RS00555",14,8,8,20,6,8
"gene-SAUSA300_RS00560","gene-SAUSA300_RS00560",51,32,36,27,26,12
"gene-SAUSA300_RS00565","gene-SAUSA300_RS00565",0,0,0,0,0,0
"gene-SAUSA300_RS00570","gene-SAUSA300_RS00570",0,0,0,0,0,0
"gene-SAUSA300_RS00575","gene-SAUSA300_RS00575",5,14,6,14,5,10
"gene-SAUSA300_RS00580","gene-SAUSA300_RS00580",11,16,12,28,20,36
"gene-SAUSA300_RS00585","gene-SAUSA300_RS00585",76,84,74,28,32,26
"gene-SAUSA300_RS00590","gene-SAUSA300_RS00590",6,8,6,2,0,2
"gene-SAUSA300_RS00595","gene-SAUSA300_RS00595",40,24,16,12,28,36
"gene-SAUSA300_RS00600","gene-SAUSA300_RS00600",0,0,0,0,0,3
"gene-SAUSA300_RS00605","gene-SAUSA300_RS00605",0,0,2,0,0,0
"gene-SAUSA300_RS00610","gene-SAUSA300_RS00610",2,0,0,2,2,2
"gene-SAUSA300_RS00615","gene-SAUSA300_RS00615",2,2,0,8,9,0
"gene-SAUSA300_RS00620","gene-SAUSA300_RS00620",0,8,8,4,2,8
"gene-SAUSA300_RS00625","gene-SAUSA300_RS00625",2,2,0,0,8,5
