"name","gene","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6"
"gene-SAUSA300_RS01610","gene-SAUSA300_RS01610",0,0,0,0,0,0
"gene-SAUSA300_RS01615","gene-SAUSA300_RS01615",0,0,0,0,0,0
"gene-SAUSA300_RS01620","gene-SAUSA300_RS01620",2,10,2,2,2,4
"gene-SAUSA300_RS01625","gene-SAUSA300_RS01625",4,14,4,30,22,20
"gene-SAUSA300_RS01630","gene-SAUSA300_RS01630",26,12,14,76,108,78
"gene-SAUSA300_RS01635","gene-SAUSA300_RS01635",10,6,0,2,2,0
"gene-SAUSA300_RS01645","gene-SAUSA300_RS01645",38,50,80,190,167,178
"gene-SAUSA300_RS01650","gene-SAUSA300_RS01650",72,44,79,191,177,128
"gene-SAUSA300_RS15965","gene-SAUSA300_RS15965",0,0,0,0,0,0
"gene-SAUSA300_RS01655","gene-SAUSA300_RS01655",16,26,18,22,30,28
"gene-SAUSA300_RS01660","gene-SAUSA300_RS01660",0,0,2,3,0,1
"gene-SAUSA300_RS01665","gene-SAUSA300_RS01665",4,0,4,0,4,2
"gene-SAUSA300_RS01670","gene-SAUSA300_RS01670",6,6,4,2,4,4
"gene-SAUSA300_RS01675","gene-SAUSA300_RS01675",4,4,10,6,2,4
"gene-SAUSA300_RS01680","gene-SAUSA300_RS01680",1,0,0,0,0,0
"gene-SAUSA300_RS01685","gene-SAUSA300_RS01685",7,9,6,2,2,2
"gene-SAUSA300_RS01690","gene-SAUSA300_RS01690",28,28,40,16,20,16
"gene-SAUSA300_RS01695","gene-SAUSA300_RS01695",4,0,2,5,6,6
"gene-SAUSA300_RS01700","gene-SAUSA300_RS01700",8,2,18,10,14,16
"gene-SAUSA300_RS01705","gene-SAUSA300_RS01705",2844,2598,2553,2916,2936,3005
"gene-SAUSA300_RS01710","gene-SAUSA300_RS01710",13,6,4,2,20,10
"gene-SAUSA300_RS01715","gene-SAUSA300_RS01715",11,12,6,2,12,2
"gene-SAUSA300_RS01720","gene-SAUSA300_RS01720",0,0,0,0,0,0
"gene-SAUSA300_RS01725","gene-SAUSA300_RS01725",6,10,4,8,14,4
"gene-SAUSA300_RS01730","gene-SAUSA300_RS01730",2,0,2,6,2,0
"gene-SAUSA300_RS01735","gene-SAUSA300_RS01735",0,5,2,8,3,6
"gene-SAUSA300_RS01740","gene-SAUSA300_RS01740",0,2,2,0,0,0
"gene-SAUSA300_RS01745","gene-SAUSA300_RS01745",2,0,0,6,6,2
"gene-SAUSA300_RS01750","gene-SAUSA300_RS01750",184,149,118,92,124,92
"gene-SAUSA300_RS01755","gene-SAUSA300_RS01755",162,174,233,52,54,46
"gene-SAUSA300_RS01760","gene-SAUSA300_RS01760",22,16,24,4,5,6
"gene-SAUSA300_RS01765","gene-SAUSA300_RS01765",8,9,23,2,12,15
"gene-SAUSA300_RS01770","gene-SAUSA300_RS01770",38,38,70,22,20,12
"gene-SAUSA300_RS01775","gene-SAUSA300_RS01775",0,2,2,2,0,0
"gene-SAUSA300_RS01780","gene-SAUSA300_RS01780",6,8,10,0,2,8
"gene-SAUSA300_RS01785","gene-SAUSA300_RS01785",2,0,0,0,0,4
"gene-SAUSA300_RS01790","gene-SAUSA300_RS01790",6,16,14,2,8,4
"gene-SAUSA300_RS01795","gene-SAUSA300_RS01795",81,83,79,142,106,107
"gene-SAUSA300_RS01800","gene-SAUSA300_RS01800",136,163,133,199,221,218
"gene-SAUSA300_RS01805","gene-SAUSA300_RS01805",14,29,33,47,39,35
"gene-SAUSA300_RS01810","gene-SAUSA300_RS01810",1,0,0,2,6,0
"gene-SAUSA300_RS01815","gene-SAUSA300_RS01815",2,0,0,2,4,0
"gene-SAUSA300_RS01820","gene-SAUSA300_RS01820",6,22,18,12,12,20
"gene-SAUSA300_RS01825","gene-SAUSA300_RS01825",0,0,0,0,0,0
"gene-SAUSA300_RS01830","gene-SAUSA300_RS01830",2,2,0,2,2,2
"gene-SAUSA300_RS01835","gene-SAUSA300_RS01835",2,3,6,2,2,2
"gene-SAUSA300_RS01840","gene-SAUSA300_RS01840",4,7,2,3,12,1
"gene-SAUSA300_RS01845","gene-SAUSA300_RS01845",5,5,3,4,1,4
"gene-SAUSA300_RS01850","gene-SAUSA300_RS01850",4,0,4,2,1,5
"gene-SAUSA300_RS01855","gene-SAUSA300_RS01855",0,0,0,0,0,1
"gene-SAUSA300_RS01860","gene-SAUSA300_RS01860",0,2,2,6,0,6
"gene-SAUSA300_RS01865","gene-SAUSA300_RS01865",2,0,4,8,0,6
"gene-SAUSA300_RS01870","gene-SAUSA300_RS01870",10,18,9,44,18,52
"gene-SAUSA300_RS01875","gene-SAUSA300_RS01875",0,0,0,0,0,2
"gene-SAUSA300_RS01885","gene-SAUSA300_RS01885",43,40,43,65,58,41
"gene-SAUSA300_RS01890","gene-SAUSA300_RS01890",10,11,8,16,8,4
"gene-SAUSA300_RS01895","gene-SAUSA300_RS01895",15,26,14,12,10,22
"gene-SAUSA300_RS01900","gene-SAUSA300_RS01900",5,8,6,20,10,19
"gene-SAUSA300_RS01905","gene-SAUSA300_RS01905",4,10,0,0,4,0
"gene-SAUSA300_RS01910","gene-SAUSA300_RS01910",3,0,6,2,0,2
"gene-SAUSA300_RS01915","gene-SAUSA300_RS01915",0,4,0,2,4,0
"gene-SAUSA300_RS01920","gene-SAUSA300_RS01920",2,2,4,13,7,2
"gene-SAUSA300_RS01925","gene-SAUSA300_RS01925",4,2,2,6,5,7
"gene-SAUSA300_RS01930","gene-SAUSA300_RS01930",18,20,14,20,30,18
"gene-SAUSA300_RS01935","gene-SAUSA300_RS01935",2,0,0,0,0,0
"gene-SAUSA300_RS01940","gene-SAUSA300_RS01940",408,440,457,216,204,182
"gene-SAUSA300_RS01945","gene-SAUSA300_RS01945",612,746,475,245,196,282
"gene-SAUSA300_RS01950","gene-SAUSA300_RS01950",14,25,6,4,10,10
"gene-SAUSA300_RS01955","gene-SAUSA300_RS01955",0,0,0,0,0,0
"gene-SAUSA300_RS15925","gene-SAUSA300_RS15925",0,0,0,0,0,0
"gene-SAUSA300_RS01970","gene-SAUSA300_RS01970",5,2,4,0,0,0
"gene-SAUSA300_RS01975","gene-SAUSA300_RS01975",0,0,0,0,0,0
"gene-SAUSA300_RS01980","gene-SAUSA300_RS01980",3060,2830,1591,1639,1927,2220
"gene-SAUSA300_RS01985","gene-SAUSA300_RS01985",16,10,3,14,6,8
"gene-SAUSA300_RS01990","gene-SAUSA300_RS01990",524,558,387,789,959,979
"gene-SAUSA300_RS01995","gene-SAUSA300_RS01995",0,0,0,0,0,0
"gene-SAUSA300_RS02000","gene-SAUSA300_RS02000",8,2,2,6,0,4
"gene-SAUSA300_RS02005","gene-SAUSA300_RS02005",27,13,20,14,20,19
"gene-SAUSA300_RS02010","gene-SAUSA300_RS02010",9,20,28,41,23,26
"gene-SAUSA300_RS02015","gene-SAUSA300_RS02015",0,0,0,0,0,0
"gene-SAUSA300_RS02020","gene-SAUSA300_RS02020",322,336,292,1396,1606,1801
"gene-SAUSA300_RS02025","gene-SAUSA300_RS02025",69,61,57,432,484,539
"gene-SAUSA300_RS02030","gene-SAUSA300_RS02030",28,42,28,44,50,42
"gene-SAUSA300_RS02035","gene-SAUSA300_RS02035",763,733,617,212,184,160
"gene-SAUSA300_RS02040","gene-SAUSA300_RS02040",35,51,45,16,17,16
"gene-SAUSA300_RS02045","gene-SAUSA300_RS02045",6,9,3,15,17,25
"gene-SAUSA300_RS02050","gene-SAUSA300_RS02050",124,114,133,136,108,127
"gene-SAUSA300_RS02055","gene-SAUSA300_RS02055",271,334,248,249,332,258
"gene-SAUSA300_RS02060","gene-SAUSA300_RS02060",29,14,16,12,17,5
"gene-SAUSA300_RS02065","gene-SAUSA300_RS02065",47,67,39,26,37,31
"gene-SAUSA300_RS02070","gene-SAUSA300_RS02070",110,129,80,104,85,96
"gene-SAUSA300_RS02075","gene-SAUSA300_RS02075",91,112,68,54,72,58
"gene-SAUSA300_RS02080","gene-SAUSA300_RS02080",0,2,2,4,0,0
"gene-SAUSA300_RS02085","gene-SAUSA300_RS02085",0,0,0,0,0,0
"gene-SAUSA300_RS02090","gene-SAUSA300_RS02090",0,0,0,0,0,0
"gene-SAUSA300_RS02095","gene-SAUSA300_RS02095",6,0,0,0,1,2
"gene-SAUSA300_RS02100","gene-SAUSA300_RS02100",4,7,11,11,14,9
"gene-SAUSA300_RS02105","gene-SAUSA300_RS02105",16,9,2,34,46,29
"gene-SAUSA300_RS02110","gene-SAUSA300_RS02110",0,10,6,14,20,18
"gene-SAUSA300_RS02115","gene-SAUSA300_RS02115",0,2,0,0,0,0
"gene-SAUSA300_RS02120","gene-SAUSA300_RS02120",10,2,2,6,4,4
"gene-SAUSA300_RS02125","gene-SAUSA300_RS02125",0,0,0,0,0,0
"gene-SAUSA300_RS02130","gene-SAUSA300_RS02130",0,0,0,0,2,1
"gene-SAUSA300_RS02135","gene-SAUSA300_RS02135",0,0,0,6,0,0
"gene-SAUSA300_RS02145","gene-SAUSA300_RS02145",0,0,0,2,0,2
"gene-SAUSA300_RS02150","gene-SAUSA300_RS02150",0,0,0,4,0,2
"gene-SAUSA300_RS02155","gene-SAUSA300_RS02155",0,0,0,0,2,4
"gene-SAUSA300_RS02160","gene-SAUSA300_RS02160",0,0,0,0,0,0
"gene-SAUSA300_RS02165","gene-SAUSA300_RS02165",0,0,0,2,0,2
"gene-SAUSA300_RS02170","gene-SAUSA300_RS02170",0,0,0,0,0,0
"gene-SAUSA300_RS02175","gene-SAUSA300_RS02175",4,2,0,0,4,2
"gene-SAUSA300_RS02180","gene-SAUSA300_RS02180",4,0,0,0,2,0
"gene-SAUSA300_RS02185","gene-SAUSA300_RS02185",0,0,0,0,0,0
"gene-SAUSA300_RS02190","gene-SAUSA300_RS02190",0,0,0,4,2,0
"gene-SAUSA300_RS02195","gene-SAUSA300_RS02195",12,16,6,34,44,32
"gene-SAUSA300_RS02200","gene-SAUSA300_RS02200",0,0,0,0,0,0
"gene-SAUSA300_RS02205","gene-SAUSA300_RS02205",0,0,0,0,0,0
"gene-SAUSA300_RS02210","gene-SAUSA300_RS02210",0,0,0,0,0,0
"gene-SAUSA300_RS02215","gene-SAUSA300_RS02215",0,0,0,0,0,0
"gene-SAUSA300_RS02220","gene-SAUSA300_RS02220",0,0,0,0,0,0
"gene-SAUSA300_RS02225","gene-SAUSA300_RS02225",2,0,0,0,2,0
"gene-SAUSA300_RS02230","gene-SAUSA300_RS02230",0,0,0,0,0,0
"gene-SAUSA300_RS02235","gene-SAUSA300_RS02235",0,0,0,2,2,2
"gene-SAUSA300_RS02240","gene-SAUSA300_RS02240",2,2,0,0,4,6
"gene-SAUSA300_RS02245","gene-SAUSA300_RS02245",2,0,2,4,0,4
"gene-SAUSA300_RS02250","gene-SAUSA300_RS02250",4,8,9,24,21,32
"gene-SAUSA300_RS02255","gene-SAUSA300_RS02255",0,1,2,11,4,4
"gene-SAUSA300_RS02260","gene-SAUSA300_RS02260",0,0,4,9,4,3
"gene-SAUSA300_RS02265","gene-SAUSA300_RS02265",5,0,2,1,4,2
"gene-SAUSA300_RS02270","gene-SAUSA300_RS02270",4,0,4,0,6,2
"gene-SAUSA300_RS16070","gene-SAUSA300_RS16070",1,0,0,0,2,0
"gene-SAUSA300_RS15730","gene-SAUSA300_RS15730",15,24,62,36,7,21
"gene-SAUSA300_RS15090","gene-SAUSA300_RS15090",17,37,16,14,15,9
"gene-SAUSA300_RS15735","gene-SAUSA300_RS15735",268,383,400,234,213,318
"gene-SAUSA300_RS15740","gene-SAUSA300_RS15740",210,254,489,303,223,344
"gene-SAUSA300_RS02280","gene-SAUSA300_RS02280",39,34,30,127,128,117
"gene-SAUSA300_RS02285","gene-SAUSA300_RS02285",233,233,220,422,361,409
"gene-SAUSA300_RS02290","gene-SAUSA300_RS02290",57,50,56,105,92,132
"gene-SAUSA300_RS15095","gene-SAUSA300_RS15095",0,0,0,0,0,0
"gene-SAUSA300_RS02300","gene-SAUSA300_RS02300",23,5,16,29,20,27
"gene-SAUSA300_RS02305","gene-SAUSA300_RS02305",20,29,17,58,61,47
"gene-SAUSA300_RS02310","gene-SAUSA300_RS02310",0,0,0,0,0,0
"gene-SAUSA300_RS02315","gene-SAUSA300_RS02315",4,8,4,4,6,0
"gene-SAUSA300_RS02320","gene-SAUSA300_RS02320",2,2,0,0,0,0
"gene-SAUSA300_RS02325","gene-SAUSA300_RS02325",0,2,0,4,2,4
"gene-SAUSA300_RS02330","gene-SAUSA300_RS02330",6,9,11,10,4,7
"gene-SAUSA300_RS02335","gene-SAUSA300_RS02335",8,18,12,0,5,4
"gene-SAUSA300_RS02340","gene-SAUSA300_RS02340",85,95,74,59,55,34
"gene-SAUSA300_RS02345","gene-SAUSA300_RS02345",28,20,38,16,14,18
"gene-SAUSA300_RS02350","gene-SAUSA300_RS02350",6,2,0,0,4,4
"gene-SAUSA300_RS02355","gene-SAUSA300_RS02355",2,5,3,10,7,8
"gene-SAUSA300_RS02360","gene-SAUSA300_RS02360",15,10,13,40,34,20
"gene-SAUSA300_RS02365","gene-SAUSA300_RS02365",18,14,10,26,41,34
"gene-SAUSA300_RS02370","gene-SAUSA300_RS02370",2,4,4,6,15,10
"gene-SAUSA300_RS02375","gene-SAUSA300_RS02375",2,2,0,0,0,2
"gene-SAUSA300_RS02380","gene-SAUSA300_RS02380",180,210,188,491,414,449
"gene-SAUSA300_RS02385","gene-SAUSA300_RS02385",139,175,173,259,284,352
"gene-SAUSA300_RS02395","gene-SAUSA300_RS02395",353,336,291,361,273,322
"gene-SAUSA300_RS02400","gene-SAUSA300_RS02400",116,170,129,149,131,116
"gene-SAUSA300_RS02405","gene-SAUSA300_RS02405",43,40,44,34,45,41
"gene-SAUSA300_RS02410","gene-SAUSA300_RS02410",0,1,0,0,1,1
"gene-SAUSA300_RS02415","gene-SAUSA300_RS02415",0,0,5,5,10,4
"gene-SAUSA300_RS02420","gene-SAUSA300_RS02420",48,42,40,56,32,72
"gene-SAUSA300_RS02425","gene-SAUSA300_RS02425",24,19,27,29,36,27
"gene-SAUSA300_RS02430","gene-SAUSA300_RS02430",56,92,66,98,85,75
"gene-SAUSA300_RS02435","gene-SAUSA300_RS02435",0,0,0,0,0,0
"gene-SAUSA300_RS02455","gene-SAUSA300_RS02455",8,1,0,8,4,8
"gene-SAUSA300_RS02460","gene-SAUSA300_RS02460",3,3,1,5,7,5
"gene-SAUSA300_RS02465","gene-SAUSA300_RS02465",19,44,18,40,45,69
"gene-SAUSA300_RS02475","gene-SAUSA300_RS02475",4,2,0,0,0,2
"gene-SAUSA300_RS02480","gene-SAUSA300_RS02480",7,10,8,8,2,16
"gene-SAUSA300_RS02485","gene-SAUSA300_RS02485",0,0,0,0,6,3
"gene-SAUSA300_RS02490","gene-SAUSA300_RS02490",0,0,4,0,0,6
"gene-SAUSA300_RS02495","gene-SAUSA300_RS02495",0,0,0,4,0,2
"gene-SAUSA300_RS02500","gene-SAUSA300_RS02500",2,0,0,0,2,0
"gene-SAUSA300_RS02510","gene-SAUSA300_RS02510",48,50,57,54,38,52
"gene-SAUSA300_RS02515","gene-SAUSA300_RS02515",37,29,22,20,14,24
"gene-SAUSA300_RS02520","gene-SAUSA300_RS02520",8,12,2,18,6,10
"gene-SAUSA300_RS02525","gene-SAUSA300_RS02525",10,8,8,5,8,2
"gene-SAUSA300_RS02530","gene-SAUSA300_RS02530",2,2,0,4,6,6
"gene-SAUSA300_RS02535","gene-SAUSA300_RS02535",14,11,13,7,15,12
"gene-SAUSA300_RS02540","gene-SAUSA300_RS02540",73,70,66,58,60,77
"gene-SAUSA300_RS02545","gene-SAUSA300_RS02545",736,807,1045,1653,973,1398
"gene-SAUSA300_RS02550","gene-SAUSA300_RS02550",489,494,473,562,548,553
"gene-SAUSA300_RS02555","gene-SAUSA300_RS02555",0,0,0,0,2,0
"gene-SAUSA300_RS02560","gene-SAUSA300_RS02560",59,57,52,67,96,82
"gene-SAUSA300_RS02565","gene-SAUSA300_RS02565",72,115,77,112,137,124
"gene-SAUSA300_RS02575","gene-SAUSA300_RS02575",276,312,188,93,66,93
"gene-SAUSA300_RS02580","gene-SAUSA300_RS02580",0,0,0,2,0,2
"gene-SAUSA300_RS02585","gene-SAUSA300_RS02585",15,34,16,24,32,26
"gene-SAUSA300_RS02590","gene-SAUSA300_RS02590",23,21,12,23,8,16
"gene-SAUSA300_RS02595","gene-SAUSA300_RS02595",22,32,36,52,50,66
"gene-SAUSA300_RS02600","gene-SAUSA300_RS02600",13,8,19,20,24,18
"gene-SAUSA300_RS02605","gene-SAUSA300_RS02605",16,15,10,16,31,18
"gene-SAUSA300_RS02610","gene-SAUSA300_RS02610",24,30,18,53,61,56
"gene-SAUSA300_RS02615","gene-SAUSA300_RS02615",0,0,0,2,0,0
"gene-SAUSA300_RS02620","gene-SAUSA300_RS02620",0,0,0,3,0,0
"gene-SAUSA300_RS02625","gene-SAUSA300_RS02625",80,124,84,186,138,122
"gene-SAUSA300_RS02630","gene-SAUSA300_RS02630",0,8,2,10,16,4
"gene-SAUSA300_RS02635","gene-SAUSA300_RS02635",246,345,227,492,496,511
"gene-SAUSA300_RS02640","gene-SAUSA300_RS02640",2,6,3,5,3,11
"gene-SAUSA300_RS02645","gene-SAUSA300_RS02645",0,4,0,1,1,5
"gene-SAUSA300_RS02650","gene-SAUSA300_RS02650",10,5,0,1,0,7
"gene-SAUSA300_RS02655","gene-SAUSA300_RS02655",0,0,3,10,2,4
"gene-SAUSA300_RS02660","gene-SAUSA300_RS02660",94,140,134,186,169,172
"gene-SAUSA300_RS02695","gene-SAUSA300_RS02695",0,2,2,2,0,0
"gene-SAUSA300_RS02700","gene-SAUSA300_RS02700",137,177,171,20,16,25
"gene-SAUSA300_RS02705","gene-SAUSA300_RS02705",84,116,149,14,16,14
"gene-SAUSA300_RS02710","gene-SAUSA300_RS02710",20,8,2,6,10,2
"gene-SAUSA300_RS02715","gene-SAUSA300_RS02715",55,41,29,67,90,100
"gene-SAUSA300_RS02720","gene-SAUSA300_RS02720",49,23,16,60,83,65
"gene-SAUSA300_RS02725","gene-SAUSA300_RS02725",46,35,26,155,115,179
"gene-SAUSA300_RS02730","gene-SAUSA300_RS02730",177,149,136,473,357,354
"gene-SAUSA300_RS02740","gene-SAUSA300_RS02740",28,30,32,30,34,32
"gene-SAUSA300_RS02745","gene-SAUSA300_RS02745",4,10,10,24,15,8
"gene-SAUSA300_RS02750","gene-SAUSA300_RS02750",23,22,24,32,22,38
"gene-SAUSA300_RS02755","gene-SAUSA300_RS02755",9,1,14,15,18,28
"gene-SAUSA300_RS02760","gene-SAUSA300_RS02760",53,43,48,88,94,119
"gene-SAUSA300_RS02765","gene-SAUSA300_RS02765",1,2,5,6,8,18
"gene-SAUSA300_RS02770","gene-SAUSA300_RS02770",46,40,47,89,74,112
"gene-SAUSA300_RS02775","gene-SAUSA300_RS02775",21,37,28,76,58,85
"gene-SAUSA300_RS02780","gene-SAUSA300_RS02780",3,6,8,14,13,7
"gene-SAUSA300_RS15115","gene-SAUSA300_RS15115",5,4,0,9,5,3
"gene-SAUSA300_RS02785","gene-SAUSA300_RS02785",4,5,2,5,7,2
"gene-SAUSA300_RS02790","gene-SAUSA300_RS02790",21,20,28,59,83,66
"gene-SAUSA300_RS02795","gene-SAUSA300_RS02795",386,303,210,214,197,176
"gene-SAUSA300_RS02800","gene-SAUSA300_RS02800",31,28,30,18,52,36
"gene-SAUSA300_RS02805","gene-SAUSA300_RS02805",177,185,261,44,62,42
"gene-SAUSA300_RS02810","gene-SAUSA300_RS02810",110,117,95,24,22,30
"gene-SAUSA300_RS02815","gene-SAUSA300_RS02815",2,0,2,2,2,8
"gene-SAUSA300_RS02820","gene-SAUSA300_RS02820",236,336,264,267,247,312
"gene-SAUSA300_RS02825","gene-SAUSA300_RS02825",354,390,333,296,283,340
"gene-SAUSA300_RS02830","gene-SAUSA300_RS02830",39,41,26,56,61,45
"gene-SAUSA300_RS02835","gene-SAUSA300_RS02835",182,246,146,257,278,321
"gene-SAUSA300_RS02840","gene-SAUSA300_RS02840",321,355,353,464,470,502
"gene-SAUSA300_RS02845","gene-SAUSA300_RS02845",2627,2724,2599,2466,2524,2870
"gene-SAUSA300_RS02850","gene-SAUSA300_RS02850",1657,1777,1482,1380,1571,1433
"gene-SAUSA300_RS02855","gene-SAUSA300_RS02855",8,2,8,16,12,14
"gene-SAUSA300_RS02860","gene-SAUSA300_RS02860",128,156,174,350,346,289
"gene-SAUSA300_RS02865","gene-SAUSA300_RS02865",400,458,432,644,498,527
"gene-SAUSA300_RS02870","gene-SAUSA300_RS02870",36,48,40,14,20,10
"gene-SAUSA300_RS02875","gene-SAUSA300_RS02875",98,83,70,148,104,71
"gene-SAUSA300_RS02880","gene-SAUSA300_RS02880",56,62,34,100,77,124
"gene-SAUSA300_RS02885","gene-SAUSA300_RS02885",4,2,2,4,2,4
"gene-SAUSA300_RS02890","gene-SAUSA300_RS02890",4,5,4,4,0,4
"gene-SAUSA300_RS02895","gene-SAUSA300_RS02895",0,0,0,0,0,0
"gene-SAUSA300_RS02900","gene-SAUSA300_RS02900",2,0,0,0,0,0
"gene-SAUSA300_RS02905","gene-SAUSA300_RS02905",0,0,0,3,0,2
"gene-SAUSA300_RS02910","gene-SAUSA300_RS02910",0,0,0,2,0,0
"gene-SAUSA300_RS02915","gene-SAUSA300_RS02915",8,16,14,12,10,4
"gene-SAUSA300_RS02920","gene-SAUSA300_RS02920",12,8,18,12,10,6
"gene-SAUSA300_RS02925","gene-SAUSA300_RS02925",18,10,36,8,24,30
"gene-SAUSA300_RS02930","gene-SAUSA300_RS02930",14,4,10,16,8,16
"gene-SAUSA300_RS02935","gene-SAUSA300_RS02935",26,42,44,80,74,56
"gene-SAUSA300_RS02940","gene-SAUSA300_RS02940",22,14,12,14,30,33
"gene-SAUSA300_RS02945","gene-SAUSA300_RS02945",7,6,8,14,12,11
"gene-SAUSA300_RS02950","gene-SAUSA300_RS02950",4,2,0,9,12,6
"gene-SAUSA300_RS02955","gene-SAUSA300_RS02955",30,14,14,24,23,25
"gene-SAUSA300_RS02960","gene-SAUSA300_RS02960",64,65,62,100,102,89
"gene-SAUSA300_RS02965","gene-SAUSA300_RS02965",122,102,109,153,216,178
"gene-SAUSA300_RS02970","gene-SAUSA300_RS02970",4,4,4,2,0,0
"gene-SAUSA300_RS02975","gene-SAUSA300_RS02975",17,4,6,48,56,46
"gene-SAUSA300_RS02985","gene-SAUSA300_RS02985",6,0,0,0,2,2
"gene-SAUSA300_RS02990","gene-SAUSA300_RS02990",8,4,8,2,2,4
"gene-SAUSA300_RS02995","gene-SAUSA300_RS02995",0,0,0,0,0,2
"gene-SAUSA300_RS03000","gene-SAUSA300_RS03000",0,2,0,0,0,0
"gene-SAUSA300_RS03005","gene-SAUSA300_RS03005",261,257,187,64,57,36
"gene-SAUSA300_RS03010","gene-SAUSA300_RS03010",26,35,32,36,26,38
"gene-SAUSA300_RS03015","gene-SAUSA300_RS03015",4,5,2,6,2,0
"gene-SAUSA300_RS03020","gene-SAUSA300_RS03020",1,1,1,4,0,2
"gene-SAUSA300_RS03025","gene-SAUSA300_RS03025",2,4,2,4,2,3
"gene-SAUSA300_RS03030","gene-SAUSA300_RS03030",38,26,22,66,61,37
"gene-SAUSA300_RS03035","gene-SAUSA300_RS03035",4,3,7,6,2,6
"gene-SAUSA300_RS03040","gene-SAUSA300_RS03040",8,6,9,8,6,19
"gene-SAUSA300_RS03045","gene-SAUSA300_RS03045",4,9,12,6,10,6
"gene-SAUSA300_RS03050","gene-SAUSA300_RS03050",160,151,154,142,169,167
"gene-SAUSA300_RS03055","gene-SAUSA300_RS03055",94,92,122,94,128,132
"gene-SAUSA300_RS03060","gene-SAUSA300_RS03060",5,6,0,2,2,17
"gene-SAUSA300_RS03065","gene-SAUSA300_RS03065",77,103,69,98,135,112
"gene-SAUSA300_RS03070","gene-SAUSA300_RS03070",68,63,79,90,94,90
"gene-SAUSA300_RS03075","gene-SAUSA300_RS03075",12,4,0,12,4,10
"gene-SAUSA300_RS03080","gene-SAUSA300_RS03080",8,4,6,4,10,12
"gene-SAUSA300_RS03085","gene-SAUSA300_RS03085",2,0,0,0,0,2
"gene-SAUSA300_RS03090","gene-SAUSA300_RS03090",0,0,0,0,0,0
"gene-SAUSA300_RS03095","gene-SAUSA300_RS03095",2,4,0,4,0,0
"gene-SAUSA300_RS03100","gene-SAUSA300_RS03100",0,0,0,0,0,0
"gene-SAUSA300_RS03105","gene-SAUSA300_RS03105",0,0,0,0,0,0
"gene-SAUSA300_RS03110","gene-SAUSA300_RS03110",0,0,0,0,0,0
"gene-SAUSA300_RS03115","gene-SAUSA300_RS03115",0,0,0,0,0,0
"gene-SAUSA300_RS03120","gene-SAUSA300_RS03120",0,0,0,0,0,0
"gene-SAUSA300_RS03125","gene-SAUSA300_RS03125",0,0,0,0,0,0
"gene-SAUSA300_RS03130","gene-SAUSA300_RS03130",0,0,0,0,0,0
"gene-SAUSA300_RS15930","gene-SAUSA300_RS15930",0,0,0,0,0,4
"gene-SAUSA300_RS03140","gene-SAUSA300_RS03140",0,0,0,0,0,0
"gene-SAUSA300_RS03145","gene-SAUSA300_RS03145",0,0,0,0,0,0
"gene-SAUSA300_RS03150","gene-SAUSA300_RS03150",0,0,0,2,2,0
"gene-SAUSA300_RS03155","gene-SAUSA300_RS03155",0,0,0,0,0,0
"gene-SAUSA300_RS03160","gene-SAUSA300_RS03160",0,0,0,0,0,0
"gene-SAUSA300_RS03165","gene-SAUSA300_RS03165",10,19,16,21,15,22
"gene-SAUSA300_RS03170","gene-SAUSA300_RS03170",24,26,16,28,29,40
"gene-SAUSA300_RS03175","gene-SAUSA300_RS03175",0,2,0,2,0,0
"gene-SAUSA300_RS03180","gene-SAUSA300_RS03180",24,6,20,22,22,20
"gene-SAUSA300_RS03185","gene-SAUSA300_RS03185",0,3,1,9,6,6
"gene-SAUSA300_RS03190","gene-SAUSA300_RS03190",1496,1783,981,396,551,495
"gene-SAUSA300_RS03195","gene-SAUSA300_RS03195",0,0,0,0,0,0
"gene-SAUSA300_RS03200","gene-SAUSA300_RS03200",0,0,0,0,0,2
"gene-SAUSA300_RS03205","gene-SAUSA300_RS03205",8,8,10,12,13,7
"gene-SAUSA300_RS03210","gene-SAUSA300_RS03210",0,0,0,0,0,0
"gene-SAUSA300_RS03215","gene-SAUSA300_RS03215",6,2,0,16,18,16
"gene-SAUSA300_RS03220","gene-SAUSA300_RS03220",4,0,0,8,4,4
"gene-SAUSA300_RS03225","gene-SAUSA300_RS03225",6,8,5,16,7,17
"gene-SAUSA300_RS03230","gene-SAUSA300_RS03230",11,4,21,23,18,18
"gene-SAUSA300_RS03235","gene-SAUSA300_RS03235",1077,1157,686,651,813,856
"gene-SAUSA300_RS03240","gene-SAUSA300_RS03240",20,8,18,26,32,32
"gene-SAUSA300_RS03245","gene-SAUSA300_RS03245",64,68,76,106,52,50
"gene-SAUSA300_RS03250","gene-SAUSA300_RS03250",687,709,488,424,531,375
"gene-SAUSA300_RS03255","gene-SAUSA300_RS03255",0,2,4,2,8,0
"gene-SAUSA300_RS03260","gene-SAUSA300_RS03260",0,0,0,0,0,0
"gene-SAUSA300_RS03265","gene-SAUSA300_RS03265",0,0,0,0,0,0
"gene-SAUSA300_RS03270","gene-SAUSA300_RS03270",0,0,0,0,0,0
"gene-SAUSA300_RS03275","gene-SAUSA300_RS03275",0,0,0,0,0,0
"gene-SAUSA300_RS03280","gene-SAUSA300_RS03280",0,0,0,0,0,0
"gene-SAUSA300_RS03285","gene-SAUSA300_RS03285",0,0,0,0,3,0
